CODIGO,CATEGORIA,SUB CATEGORIA,PROVEDOR,DESCRIPCION
CONEX TIERRA K2,ESTRUCTURA,PREFABRICADA,BAYWA,"""SGB-4, 4-14 SOL-STR"""
TRINA 620 MONO,PANEL SOLAR,MONOCRISTALINO,BAYWA,"""TRINA TSM-NEG19RC.20-620W"""
CROSSRAIL K2,ESTRUCTURA,PREFABRICADA,BAYWA,"""CROSSRAIL 48-X, 4.70M, MILL<br />"""
UNION A PROTEA II K2,ESTRUCTURA,PREFABRICADA,BAYWA,"""L-FOOT BRACKET W/T-BOLT AND NUT, CR48 MIL, 1/2"""""""
TORNILLO DE SUJECION K2,ESTRUCTURA,PREFABRICADA,BAYWA,"""SET JT3-SB-3-8.0x85/50 FZD"""
RAIL CONNECTOR K2,ESTRUCTURA,PREFABRICADA,BAYWA,"""RAIL CONNECTOR UL 2703 SET CR48-S, MILL, 1/2"""""
CLIMBER SET K2,ESTRUCTURA,PREFABRICADA,BAYWA,"""CLIMBER SET CR48, HOLE"""
CROSSRAIL 48-12 K2,ESTRUCTURA,PREFABRICADA,BAYWA,"""CROSSRAIL 48-S TILT CONNECTOR SET 1/2"""""""
PROTEA II S5,ESTRUCTURA,PREFABRICADA,BAYWA,"""PROTEA II"""
TORNILLO COMP K2,ESTRUCTURA,PREFABRICADA,BAYWA,"""13x25MM "
SOLIS S5 60K 2F,INVERSOR,BIFASICO,BAYWA,"""SOLIS S5-GC60K-LV """
FOTOVOLTAICO LEADER C.10 N,CORRIENTE DIRECTA,CABLE,BAYWA,"""LEADERTECH UL PV 10 AWG WIRE BLACK 2000V"""
FOTOVOLTAICO LEADER C.10 R,CORRIENTE DIRECTA,CABLE,BAYWA,"""LEADERTECH UL PV 10 AWG WIRE RED 2000V"""
TRINA 625 MONO,PANEL SOLAR,MONOCRISTALINO,BAYWA,"""TRINA TSM-NEG19RC.20-625W"""
RAIL NOVOTEGRA,ESTRUCTURA,PREFABRICADA,BAYWA,"""N RAIL 4.72"""
EMPALME RIEL NOVOTEGRA,ESTRUCTURA,PREFABRICADA,BAYWA,"""N CONNECTOR NOVOTEGRA"""
TORNILLO NOVOTEGRA,ESTRUCTURA,PREFABRICADA,BAYWA,"""N BOLT 30MM NOVOTEGRA"""
TUERCA NOVOTEGRA,ESTRUCTURA,PREFABRICADA,BAYWA,"""N NUT NOVOTEGRA"""
